Loc	XOR	
00000000000000000001000000001000000000000000	111010010100	
00000000000000000010000000001000000000000000	110001101111	
00000000000000000100000000001000000000000000	100110011001	
00000000000000001000000000001000000000000000	001001110101	
00000000000000010000000000001000000000000000	011000111000	
00000000000000100000000000001000000000000000	111010100010	
00000000000001000000000000001000000000000000	110000000011	
00000000000010000000000000001000000000000000	100101000001	
00000000000100000000000000001000000000000000	001111000101	
00000000001000000000000000001000000000000000	010101011000	
00000000010000000000000000001000000000000000	100001100010	
00000000100000000000000000001000000000000000	000110000011	
00000001000000000000000000001000000000000000	000111010100	
00000010000000000000000000001000000000000000	000101111010	
00000100000000000000000000001000000000000000	000000100110	
00001000000000000000000000001000000000000000	001010011110	
00010000000000000000000000001000000000000000	011111101110	
00100000000000000000000000001000000000000000	110100001110	
01000000000000000000000000001000000000000000	101101011011	
10000000000000000000000000001000000000000000	011111110001	
00000000000000000000000000110000000000000000	010110100100	
00000000000000000000000001010000000000000000	111011101100	
00000000000000000000000010010000000000000000	101111101001	
00000000000000000000000100010000000000000000	000111100011	
00000000000000000000001000010000000000000000	011001100010	
00000000000000000000010000010000000000000000	100101100000	
00000000000000000000100000010000000000000000	010011110001	
00000000000000000001000000010000000000000000	110001000110	
00000000000000000010000000010000000000000000	111010111101	
00000000000000000100000000010000000000000000	101101001011	
00000000000000001000000000010000000000000000	000010100111	
00000000000000010000000000010000000000000000	010011101010	
00000000000000100000000000010000000000000000	110001110000	
00000000000001000000000000010000000000000000	111011010001	
00000000000010000000000000010000000000000000	101110010011	
00000000000100000000000000010000000000000000	000100010111	
00000000001000000000000000010000000000000000	011110001010	
00000000010000000000000000010000000000000000	101010110000	
00000000100000000000000000010000000000000000	001101010001	
00000001000000000000000000010000000000000000	001100000110	
00000010000000000000000000010000000000000000	001110101000	
